Id,Name,PositionLatitude,PositionLongitude,Address,ZipCode,City,AcceptsCard,TotalStands
1,CLARENDON ROW,53.340927,-6.262501,Clarendon Row,000000,Dublin,0,31
2,BLESSINGTON STREET,53.356769,-6.26814,Blessington Street,000000,Dublin,0,20
3,BOLTON STREET,53.351182,-6.269859,Bolton Street,000000,Dublin,0,20
4,GREEK STREET,53.346874,-6.272976,Greek Street,000000,Dublin,0,20
5,CHARLEMONT PLACE,53.330662,-6.260177,Charlemont Street,000000,Dublin,0,40
6,CHRISTCHURCH PLACE,53.343368,-6.27012,Christchurch Place,000000,Dublin,0,20
7,HIGH STREET,53.343565,-6.275071,High Street,000000,Dublin,0,29
8,CUSTOM HOUSE QUAY,53.347884,-6.248048,Custom House Quay,000000,Dublin,0,30
9,EXCHEQUER STREET,53.343034,-6.263578,Exchequer Street,000000,Dublin,0,24
10,DAME STREET,53.344007,-6.266802,Dame Street,000000,Dublin,1,16
11,EARLSFORT TERRACE,53.334295,-6.258503,Earlsfort Terrace,000000,Dublin,0,30
12,ECCLES STREET,53.359246,-6.269779,Eccles Street,000000,Dublin,0,20
13,FITZWILLIAM SQUARE WEST,53.336074,-6.252825,Fitzwilliam Square West,000000,Dublin,0,30
14,FOWNES STREET UPPER,53.344603,-6.263371,Fownes Street Upper,000000,Dublin,0,30
15,HARDWICKE STREET,53.355473,-6.264423,Hardwicke Street,000000,Dublin,0,16
16,GEORGES QUAY,53.347508,-6.252192,Georges Quay,000000,Dublin,0,20
17,GOLDEN LANE,53.340803,-6.267732,Golden Lane,000000,Dublin,0,20
18,GRANTHAM STREET,53.334123,-6.265436,Grantham Street,000000,Dublin,0,30
19,HERBERT PLACE,53.334432,-6.245575,Herbert Place,000000,Dublin,0,30
20,JAMES STREET EAST,53.336597,-6.248109,James Street East,000000,Dublin,0,30
21,LEINSTER STREET SOUTH,53.34218,-6.254485,Leinster Street South,000000,Dublin,0,30
22,TOWNSEND STREET,53.345922,-6.254614,Townsend Street,000000,Dublin,0,20
23,CUSTOM HOUSE,53.348279,-6.254662,Custom House,000000,Dublin,0,30
24,CATHAL BRUGHA STREET,53.352149,-6.260533,Cathal Brugha Street,000000,Dublin,0,20
25,MERRION SQUARE EAST,53.339434,-6.246548,Merrion Square East,000000,Dublin,0,30
